0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.18493704,0.0,0.0,0.18144564,0.1808937,0.15222509,0.15343505,0.14706343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13412283,0.0,0.23350695,0.19695503,0.14626472,0.10935776,0.17979276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15641345,0.19028276,0.16581333,0.1726187,0.17216906,0.14270277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.077935286,0.081814215,0.04112575,0.11091151,0.111641146,0.07329473,0.043807693,0.1000668,0.14504686,0.16376643,0.050589558,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.09447305,0.085490145,0.10446206,0.064222485,0.0735055,0.1608169,0.10100931,0.059262544,0.07189105,0.06474754,0.12011942,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.06161221,0.08570593,0.068619825,0.110848196,0.090515375,0.06505468,0.0,0.08344559,0.086903036,0.1291292,0.09878787,0.119378,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0842797,0.06970453,0.06462352,0.07789293,0.068040654,0.0,0.07062268,0.058756866,0.062751964,0.1192201,0.08746348,0.23664361,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.059125233,0.05646429,0.038262688,0.10752485,0.08745886,0.072122775,0.03776695,0.116261624,0.23953798,0.06732353,0.0682352,0.04991598,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12627728,0.09220629,0.087809116,0.12142342,0.09282404,0.09807052,0.16581756,0.09391702,0.12165485,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18812713,0.14720239,0.17734581,0.16772562,0.1412183,0.08097878,0.09740201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07709476,0.06571621,0.11280439,0.095411986,0.0582062,0.10668467,0.0,0.088204235,0.0,0.0,0.1228057,0.090512715,0.090753384,0.0918058
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10626816,0.20927992,0.10050561,0.07482352,0.0,0.0,0.14105596,0.0,0.07271135,0.097826794,0.098209664,0.099319
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28727895,0.23323862,0.15836558,0.15886325,0.16225359
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24029519,0.15733865,0.13081403,0.11930242,0.1168158,0.11641372,0.11902018
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19452585,0.24194418,0.15699695,0.15833862,0.24819441,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19229512,0.2435209,0.15510222,0.16426817,0.0,0.24481362,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18951035,0.23452531,0.15314159,0.17109028,0.0,0.0,0.25173247
