0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.14618522,0.28608295,0.08237096,0.11663332,0.20597361,0.162754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12282696,0.17013492,0.046848014,0.1233095,0.13207968,0.15693246,0.10588756,0.14198095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12418467,0.16929843,0.10510163,0.14267159,0.08782635,0.095914416,0.14439997,0.13060299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07973412,0.26425883,0.076651625,0.08008335,0.06675059,0.10118533,0.24167994,0.0896562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09826688,0.25336197,0.08125239,0.11748584,0.1238712,0.16409978,0.05905518,0.102606796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07629356,0.19141759,0.068202116,0.08326155,0.093184166,0.069738634,0.0,0.0,0.16708477,0.0967569,0.106416784,0.047643993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.12146282,0.030366855,0.16120082,0.10563425,0.0,0.06503258,0.0,0.09116443,0.18543951,0.15454923,0.08514947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16871369,0.04909204,0.07076987,0.14841707,0.0,0.0,0.0913562,0.13971399,0.079854645,0.14829686,0.10378564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.13262136,0.08585092,0.19571306,0.14044726,0.22441693,0.13345912,0.08749134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.057534046,0.16020615,0.04801873,0.1218179,0.053233683,0.0,0.0,0.07362765,0.042540293,0.14171417,0.11545002,0.12991247,0.05594485,0.0
0.0,0.0,0.0,0.0,0.0,0.11090211,0.09953356,0.084871665,0.10294465,0.0,0.1319299,0.0,0.08225988,0.080983676,0.08966652,0.09767527,0.05983041,0.05940234,0.0
0.0,0.0,0.0,0.0,0.0,0.026704561,0.07497919,0.06368555,0.051092766,0.0,0.0,0.08143241,0.2678926,0.16703552,0.06368717,0.051728707,0.07656109,0.03288334,0.042317096
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053341523,0.060950335,0.13559105,0.1281884,0.10441242,0.10013512,0.13464868,0.106611766,0.08076833,0.095352404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07792878,0.11515053,0.10545423,0.06494513,0.060245108,0.07763222,0.10043697,0.12738162,0.108953916,0.16187151
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19340289,0.110437065,0.079123214,0.15678301,0.106546566,0.06607671,0.085455365,0.07464391,0.034668103,0.09286311
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10752818,0.08635837,0.09242385,0.14222406,0.095786355,0.07640865,0.16521932,0.09834042,0.055686053,0.080024704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16781205,0.08713828,0.12252786,0.22484921,0.14932185,0.05214039,0.07369452,0.12251585,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09714026,0.10816914,0.12444582,0.14598714,0.12789117,0.12218165,0.13868445,0.0,0.13550042,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10404636,0.26896077,0.15648896,0.21061666,0.16056596,0.0,0.0,0.09932131
